ID	PrefabName	RoomType	MinStage	MaxStage
5001	Stage01_Base	Base	1	2
5002	Stage01_Boss	Boss	1	2
5003	Stage01_Normal01	Normal	1	2
5004	Stage01_Normal02	Normal	1	2
5005	Stage01_Normal03	Normal	1	2
5006	Stage01_Normal04	Normal	1	2
5007	Stage01_Normal05	Normal	1	2
5008	Stage01_Normal06	Normal	1	2
5009	Stage01_Shop	Shop	1	2
5010	Stage01_Special	Special	1	2
5011	Stage01_Treasure	Treasure	1	2
5012	Stage03_Base	Base	3	4
5013	Stage03_Boss	Boss	3	4
5014	Stage03_Normal01	Normal	3	4
5015	Stage03_Normal02	Normal	3	4
5016	Stage03_Normal03	Normal	3	4
5017	Stage03_Normal04	Normal	3	4
5018	Stage03_Normal05	Normal	3	4
5019	Stage03_Normal06	Normal	3	4
5020	Stage03_Shop	Shop	3	4
5021	Stage03_Special	Special	3	4
5022	Stage03_Treasure	Treasure	3	4
5023	Stage05_Base	Base	5	6
5024	Stage05_Boss	Boss	5	6
5025	Stage05_Normal01	Normal	5	6
5026	Stage05_Normal02	Normal	5	6
5027	Stage05_Normal03	Normal	5	6
5028	Stage05_Normal04	Normal	5	6
5029	Stage05_Normal05	Normal	5	6
5030	Stage05_Normal06	Normal	5	6
5031	Stage05_Shop	Shop	5	6
5032	Stage05_Special	Special	5	6
5033	Stage05_Treasure	Treasure	5	6
5034	Stage07_Base	Base	7	7
5035	Stage07_Boss	Boss	7	7
5036	Stage07_Normal01	Normal	7	7
5037	Stage07_Normal02	Normal	7	7
5038	Stage07_Normal03	Normal	7	7
5039	Stage07_Normal04	Normal	7	7
5040	Stage07_Normal05	Normal	7	7
5041	Stage07_Normal06	Normal	7	7
5042	Stage07_Shop	Shop	7	7
5043	Stage07_Special	Special	7	7
5044	Stage07_Treasure	Treasure	7	7
